body,author,title,label,link,time,date,id,
"Circula no WhatsApp que o Instituto Maurício de Sousa está distribuindo gratuitamente o “Super Almanaque Turma da Mônica, Edição Estude em Casa” em todo o Brasil. O texto que circula pede que o usuário clique em um site da promoção para fazer o cadastro. Essa sugestão foi encaminhada por um leitor da ",Nathália Afonso, #Verificamos: É golpe cadastro no WhatsApp que promete almanaque da Turma da Mônica ,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/25/verificamos-golpe-almanaque-monica/,13h30,25.jun.2020,19,
Circula nas redes sociais que o vírus da Covid-19 teria sido ‘transportado’ em vagões de trem antes da doença se tornar conhecida mundialmente.,Gustavo Queiroz, #Verificamos: É montagem foto de vagão de trem ‘transportando Covid-19’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/25/verificamos-trem-transportando-covid19/,19h17,25.jun.2020,20,
Circula nas redes sociais uma foto de um protesto contra o Supremo Tribunal Federal e Congresso Nacional. A legenda que acompanha a imagem diz que o ato aconteceu no último fim de semana em Brasília. ,Nathália Afonso, #Verificamos: Foto de manifestação contra Congresso e STF que circula nas redes é antiga,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/24/verificamos-congresso-stf-manifestacao/,17h18,24.jun.2020,21,
"Circula nas redes sociais que a Clínica de Doenças Infectoparasitárias do Hospital Naval Marcílio Dias “liberou” um protocolo para uso domiciliar da Ivermectina durante tratamento do coronavírus. De acordo com a publicação, a Marinha do Brasil recomendaria a administração do remédio em dose única para pacientes que manifestam sintomas leves da Covid-19. A prescrição seria acompanhada de termo de consentimento assinado pelo paciente. Essa sugestão foi encaminhada por um leitor da Lupa pelo formulário ",Gustavo Queiroz, #Verificamos: Marinha não aplica protocolo que prescreve ‘uso domiciliar da ivermectina’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/23/verificamos-marinha-protocolo-ivermectina/,18h18,23.jun.2020,22,
"Nas últimas semanas, as redes sociais foram inundadas com informações falsas sobre vacinas que estão sendo testadas para imunizar a população contra a Covid-19. No Brasil, o principal alvo foi a Coronavac, imunização que está sendo desenvolvida pela farmacêutica chinesa Sinovac e será testada em 9 mil voluntários no Brasil, em parceria com o instituto Butantan. No novo episódio do Verifica, os apresentadores Gilberto Scofield Jr. e Natália Leal desmentem falsas informações sobre a parceria entre o laboratório chinês e o instituto brasileiro e sobre os ensaios clínicos. ",Equipe Lupa, Verifica Coronavírus EP11: informações falsas sobre vacinas contra a Covid-19 viralizam nas redes sociais,,https://piaui.folha.uol.com.br/lupa/2020/06/25/verifica-coronavirus-ep11-vacinas-covid/,16h19,25.jun.2020,23,
"Circula pelas redes sociais a imagem de um tuíte atribuído ao presidente Jair Bolsonaro (sem partido). Na mensagem, ele questiona se não seria bom sonhar com a transmissão de um jogo de Flamengo, Vasco, Corinthians ou Palmeiras na TV Record, bem no horário do Jornal Nacional, da Rede Globo. A legenda que acompanha a mensagem diz que, em vez de se preocupar com desemprego ou com a falência de empresas durante a pandemia, Bolsonaro está mais interessado na audiência da emissora. Por meio do ​",Maurício Moraes, #Verificamos: É falso que Bolsonaro escreveu tuíte pedindo futebol na Record na hora do Jornal Nacional,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/24/verificamos-bolsonaro-futebol-record/,19h16,24.jun.2020,24,
"Com a pandemia da Covid-19, a Organização Mundial da Saúde (OMS) ganhou uma visibilidade inédita. E, como consequência, a instituição também virou alvo cotidiano de desinformação. Em alguns casos, a imagem da entidade foi usada para legitimar tratamentos sem eficácia comprovada e contestar políticas públicas contra a doença. Em outros, tornou-se o epicentro de teorias da conspiração. De meados de janeiro até 23 de junho, 146 verificações foram feitas envolvendo a instituição, segundo as bases de dados ",Nathália Afonso," Nos holofotes com Covid-19, OMS vira alvo cotidiano de desinformação",,https://piaui.folha.uol.com.br/lupa/2020/06/25/coronaverificado-oms-boatos/,08h00,25.jun.2020,25,
"Circula nas redes sociais que a cloroquina, medicamento já usado no tratamento e profilaxia da malária, estaria sendo distribuída gratuitamente em toda a Europa para tratamento da Covid-19. ",Gustavo Queiroz, #Verificamos: É falso que cloroquina está sendo distribuída gratuitamente ‘em toda a Europa’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/24/verificamos-cloroquina-gratuita-europa/,18h54,24.jun.2020,26,
O que você precisa saber:,Jaqueline Sordi, Lupa na Ciência: Estudo detecta queda significativa de anticorpos em recuperados da Covid-19 poucos meses após infecção,,https://piaui.folha.uol.com.br/lupa/2020/06/24/lupa-na-ciencia-anticorpos-queda/,12h00,24.jun.2020,27,
"Circula pelas redes sociais que o advogado responsável por hospedar Fabrício Queiroz em Atibaia, ex-defensor do senador Flávio Bolsonaro (Republicanos-RJ), teria sido também responsável por defender Adélio Bispo nas investigações sobre a tentativa de assassinato contra Jair Bolsonaro (sem partido). Por meio do ​",Gustavo Queiroz, #Verificamos: É falso que advogado que hospedava Queiroz seja o mesmo que defendeu Adélio,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/23/verificamos-advogado-queiroz-adelio/,17h20,23.jun.2020,28,
"Desde o início da pandemia de Covid-19, a tecnologia 5G está no centro das teorias da conspiração sobre a doença. Entre janeiro e junho deste ano, pelo menos 116 publicações envolvendo os dois assuntos foram desmentidas por plataformas de checagens de 37 países. A suposta relação entre o vírus e o 5G varia: alguns dizem que a rede de transmissão de dados está sendo usada, junto com a doença, em um grande plano para monitorar a população mundial. Outros sugerem que ela é a causa da doença. Nada disso, claro, é verdadeiro.",Ítalo Rômany, Como a desinformação fez do 5G ‘causa’ da Covid-19 em diferentes países,,https://piaui.folha.uol.com.br/lupa/2020/06/23/coronaverificado-5g/,08h00,23.jun.2020,29,
"Circula pelas redes sociais  que, segundo a revista Forbes, o empresário chinês Jack Ma teria comprado “usinas hidrelétricas e centenas de fazendas” no Brasil. De acordo com a legenda, o “homem mais rico da China” teria classificado os brasileiros como um povo ingênuo e dito que jamais contrataria mão de obra no país. Ele é conhecido por ser co-fundador do Alibaba, uma das maiores empresas de vendas on-line do mundo. ",Gustavo Queiroz," #Verificamos: É falso que, segundo a revista Forbes, ‘homem mais rico da China’ comprou fazendas e hidrelétricas no Brasil",FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/22/verificamos-china-hidreletricas-brasil/,20h25,22.jun.2020,30,
"Circula nas redes que o governador de São Paulo, João Doria (PSDB), teria testado positivo para Covid-19, doença causada pelo novo coronavírus. ",Nathália Afonso, #Verificamos: É falso que Doria tenha testado positivo para Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/22/verificamos-doria-positivo-covid/,19h33,22.jun.2020,31,
"Circula pelas redes sociais um vídeo com vários funcionários batendo palmas em uma unidade de saúde localizada em Messejana, em Fortaleza (CE). Quase todos estão usando máscaras. Segundo a legenda, trata-se de uma comemoração pelo fechamento da ala de Covid-19 do hospital do bairro, por falta de pacientes. Por meio do ​",Maurício Moraes," #Verificamos: É falso que Hospital de Messejana, em Fortaleza, fechou ala de Covid-19",FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/22/verificamos-hospital-messejana-covid-19/,19h09,22.jun.2020,32,
"Circula nas redes sociais um vídeo mostrando uma declaração de óbito de um paciente com suspeita de Covid-19, da cidade de Ipê, no Rio Grande do Sul. Segundo o narrador, o médico incluiu “suspeita de Covid” no documento porque o hospital ganharia R$ 18 mil. Por meio do ",Ítalo Rômany, #Verificamos: É falso que hospitais recebem verba de R$ 18 mil por cada morte com suspeita de Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/22/verificamos-hospitais-verba-covid/,18h23,22.jun.2020,33,
"Circula pelas redes sociais um vídeo que mostra médicos e funcionários de um hospital dançando, com máscaras e outros equipamentos de proteção individual. A gravação mostra os profissionais em diferentes lugares da unidade de saúde, situada em Israel. De acordo com a legenda, trata-se de uma comemoração por não haver mais pacientes com Covid-19 internados. Por meio do ​",Maurício Moraes, #Verificamos: Médicos dançando em vídeo não comemoram fim da Covid-19 em hospital de Israel,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/22/verificamos-medicos-dancando-video-covid-19-israel/,17h05,22.jun.2020,34,
O que você precisa saber:,Jaqueline Sordi, Lupa na Ciência: Estudos sugerem que plasma convalescente é seguro e pode ajudar no tratamento da Covid-19,,https://piaui.folha.uol.com.br/lupa/2020/06/22/lupa-na-ciencia-plasma/,12h00,22.jun.2020,35,
"Circula nas redes sociais uma imagem que compara fotos internas das amígdalas. Segundo a legenda da foto, a primeira foto, que mostra marcas vermelhas na amígdala e no céu da boca, é de um paciente com Covid-19. A foto é acompanhada de um texto, supostamente “escrito por um médico”, que descreve sintomas da doença. ",Gustavo Queiroz, #Verificamos: Foto de amígdalas avermelhadas que circula nas redes não tem relação com Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/18/verificamos-foto-amigdalas-relacao-covid/,20h01,18.jun.2020,36,
"Circula nas redes sociais que o governador de São Paulo, João Doria (PSDB), teria informado que a vacina CoronaVac, desenvolvida pela farmacêutica chinesa Sinovac, vai ser testada em idosos. O texto que circula pelas redes diz ainda que os voluntários vão receber uma quantia para participar do ensaio clínico. ",Nathália Afonso, #Verificamos: Doria não propôs que vacina contra Covid-19 seja testada em idosos,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/19/verificamos-doria-vacina-idosos/,20h24,19.jun.2020,37,
"Circula pelas redes sociais um texto atribuído a uma juíza chamada Daniele Moura, supostamente da Escola da Magistratura do Estado do Rio de Janeiro (Emerj), direcionado ao presidente do Supremo Tribunal Federal (STF), Dias Toffoli. Na mensagem, ela diz que  os ministros do STF são as maiores ameaças à democracia do país. Também faz críticas a vários dos integrantes da instituição, citando nominalmente os ministros Ricardo Lewandowski e Gilmar Mendes. Por meio do ​",Maurício Moraes," #Verificamos: É falso que ‘juíza Daniele Moura’, da Emerj, escreveu crítica ao STF",FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/19/verificamos-juiza-daniele-moura-emerj-critica-stf/,17h21,19.jun.2020,38,
"Circula nas redes sociais um vídeo em que Alexandre de Moraes, atual ministro do Supremo Tribunal Federal (STF), lê críticas à atuação do Supremo e usa palavras de baixo calão para descrever os membros da Corte. De acordo com a legenda do texto, o vídeo teria sido publicado antes de Moraes se tornar ministro do STF, indicando que ele estaria reproduzindo suas próprias opiniões. ",Gustavo Queiroz, #Verificamos: É falso que Alexandre de Moraes defendeu ‘atirar à queima-roupa’ em ministros antes de tomar posse no STF,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/19/verificamos-moraes-atirar-stf/,18h41,19.jun.2020,39,
"Circula nas redes sociais uma imagem com uma aspas do presidente dos Estados Unidos, Donald Trump, sobre o Brasil e o presidente Jair Bolsonaro (sem partido). No trecho que consta no post, Trump teria dito que o Brasil é o único país do mundo em que o Supremo Tribunal Federal (STF) retirou poderes de um presidente para combater a pandemia da Covid-19. Ainda de acordo com a legenda, governadores e prefeitos estariam fazendo “tudo errado”, inclusive aproveitando do momento para realizar “roubos e saques”. Por meio do ",Ítalo Rômany, #Verificamos: Trump não disse que o Brasil é o único país do mundo que o ‘Supremo Tribunal isolou o presidente do combate à pandemia’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/19/verificamos-trump-supremo-pandemia/,14h57,19.jun.2020,40,
Circula nas redes sociais que a farmacêutica chinesa Sinovac irá usar 9 mil paulistas como cobaias para testar uma vacina contra a Covid-19 que só foi testada em macacos. ,Nathália Afonso, #Verificamos: É falso que vacina da Sinovac foi testada apenas em macacos,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/18/verificamos-vacina-sinovac-macacos/,14h39,18.jun.2020,41,
Circula pelas redes sociais um texto supostamente extraído do livro ,Maurício Moraes, #Verificamos: Texto sobre ‘pandemia do medo’ não foi escrito por C. S. Lewis,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/19/verificamos-pandemia-do-medo-c-s-lewis/,12h03,19.jun.2020,42,
O que você precisa saber:,Jaqueline Sordi," Lupa na Ciência: Dexametasona pode ser promissora em casos graves de Covid-19, mas exige cautela",,https://piaui.folha.uol.com.br/lupa/2020/06/19/lupa-na-ciencia-dexametasona/,12h00,19.jun.2020,43,
"Circula nas redes sociais que, enquanto o mundo está em quarentena, a China fez importantes negócios para comprar grandes multinacionais, como a Volvo, Pirelli, Thomas Cook e parte da Mercedes-Benz. A legenda sugere que a pandemia foi pretexto para que a China concretizasse negócios mais facilmente. Por meio do ",Ítalo Rômany, #Verificamos: É falsa informação de que a China comprou multinacionais durante pandemia da Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/18/verificamos-china-multinacionais-covid/,18h29,18.jun.2020,44,
"Circula nas redes sociais que a Organização Mundial da Saúde (OMS) teria admitido que a vacina CoronaVac, produzida pela farmacêutica chinesa Sinovac, não foi testada em nenhum lugar do mundo. ",Nathália Afonso, #Verificamos: OMS não disse que CoronaVac ‘não foi testada em nenhum lugar do mundo’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/18/verificamos-oms-coronavac-teste/,19h07,18.jun.2020,45,
"Na semana passada, uma fala mal-interpretada de uma representante da Organização Mundial da Saúde (OMS) iniciou uma onda de desinformação sobre a Covid-19. Na ocasião, a porta-voz comunicou que pacientes assintomáticos da doença raramente transmitem o novo coronavírus. Nas redes sociais, a fala foi distorcida e começou a circular que OMS teria concluído que pacientes assintomáticos não ",Equipe Lupa, Verifica Coronavírus EP10: assintomáticos e a desinformação sobre a Covid-19,,https://piaui.folha.uol.com.br/lupa/2020/06/18/verifica-assintomaticos-covid/,16h01,18.jun.2020,46,
"Circula nas redes sociais a informação de que a vacina contra a Covid-19 financiada pela Fundação Bill e Melinda Gate seria a mesma desenvolvida pela empresa chinesa Sinovac Biotech, que terá fase de testes em humanos no Brasil. Por meio do ",Gustavo Queiroz, #Verificamos: É falso que vacina financiada pela Fundação Gates seja a mesma desenvolvida por empresa chinesa,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/18/verificamos-vacina-gates-chinesa/,18h03,18.jun.2020,47,
Circula nas redes sociais uma foto que mostra a deputada federal ,Nathália Afonso, #Verificamos: É antiga foto de Joice Hasselmann sem máscara em hospital ,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/18/verificamos-joice-sem-mascara-covid/,12h28,18.jun.2020,48,
"Circula pelas redes sociais um vídeo com a entrevista de um policial militar que afirma ter invadido um hospital para verificar se a mãe, internada com Covid-19, estava viva. Em seguida, são mostradas imagens de uma idosa sobre um saco plástico, deitada em uma maca. Segundo texto inserido na gravação, trata-se de Joana Pereira dos Santos Araque, de 66 anos, que teria sido dada como morta por Covid-19 no Hospital Getúlio Vargas. A legenda diz que o caso aconteceu em São Paulo, e que a mulher estava em um saco para defuntos quando o filho chegou. Por meio do ​",Maurício Moraes, #Verificamos: É falso que policial de São Paulo resgatou a mãe viva de um ‘saco para defuntos’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/17/verificamos-saco-defuntos-sp/,20h10,17.jun.2020,49,
"Circula pelo WhatsApp que o Senado Federal irá debater a “Lei de Proteção Doméstica”, que contemplaria a prisão de pessoas que pregam em “horas impróprias”. ",Nathália Afonso, #Verificamos: É falso que projeto de lei no Senado prevê ‘violação da liberdade de culto’,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/17/verificamos-projeto-religiao-senado/,20h06,17.jun.2020,50,
"Circula nas redes sociais um trecho de um vídeo no qual o governador do Ceará, Camilo Santana (PT), usa uma expressão de baixo calão para dizer que vai prolongar o decreto rígido de isolamento social no estado, para contenção da Covid-19. Por meio do ​",Ítalo Rômany, #Verificamos: É montagem vídeo que mostra governador do Ceará dizendo palavras de baixo calão para explicar decreto,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/17/verificamos-video-ceara-decreto/,19h47,17.jun.2020,51,
"Circula pelas redes sociais uma foto de dois homens uniformizados em uma rua pouco movimentada. De acordo com a legenda, trata-se de assaltantes disfarçados, que oferecem testes para detectar a Covid-19 com o objetivo de entrar nas residências e praticar crimes. O post diz ainda que a dupla estava agindo no bairro de Centro Alto, em Ribeirão Pires, cidade da região metropolitana de São Paulo, e que a fonte da informação foi a vizinhança solidária. Por meio do ​",Maurício Moraes, #Verificamos: É falso que homens em foto são assaltantes disfarçados oferecendo testes para Covid-19,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/17/verificamos-foto-assaltantes-testes-covid-19/,17h42,17.jun.2020,52,
O que você precisa saber:,Jaqueline Sordi, Lupa na Ciência: O que sabemos sobre a vacina chinesa que será testada em 9 mil brasileiros,,https://piaui.folha.uol.com.br/lupa/2020/06/17/lupa-ciencia-vacina-brasil/,12h00,17.jun.2020,53,
"Circula nas redes sociais um vídeo de um policial civil retirando dinheiro de um forro de uma casa. A legenda da publicação diz que a operação da Polícia Civil estava sendo realizada na casa do secretário de Saúde do Pará, Alberto Beltrame. Por meio do ​",Ítalo Rômany, #Verificamos: Vídeo de apreensão de dinheiro não foi registrado na casa do secretário de Saúde do Pará,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/17/verificamos-dinheiro-secretario-saude/,17h05,17.jun.2020,54,
"Circula nas redes sociais uma foto de uma certidão de nascimento supostamente emitida na “República do Quênia” publicada por Malik Obama, irmão do ex-presidente dos Estados Unidos, Barack Obama. De acordo com a publicação, a certidão comprovaria que Barack não seria norte-americano, mas queniano, o que tornaria ilegal seu mandato na presidência do país, de 2009 a 2017. O conteúdo foi compartilhado, entre outros, por Olavo de Carvalho. Por meio do ",Gustavo Queiroz, #Verificamos: É falsa certidão de nascimento de Obama registrada no Quênia,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/16/verificamos-obama-quenia/,20h56,16.jun.2020,55,
"Circula nas redes sociais uma imagem de uma pessoa sentada, de tornozeleira eletrônica, com uma tatuagem do ex-presidente Luiz Inácio Lula da Silva (PT) na perna. A legenda diz: “Quando te perguntarem o que é coerência mostre essa imagem”. Por meio do ",Ítalo Rômany, #Verificamos: É montagem foto de pessoa com tornozeleira eletrônica e tatuagem do ex-presidente Lula na perna,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/16/verificamos-montagem-tornozeleira-lula/,14h52,16.jun.2020,56,
"Em apenas dois meses, posts compartilhados nas redes sociais transformaram as máscaras em “vilãs” da pandemia de Covid-19. A partir de abril – quando vários países, ",Maurício Moraes, Desinformação fez da máscara ‘vilã’ após países adotarem uso contra Covid-19,,https://piaui.folha.uol.com.br/lupa/2020/06/16/coronaverificado-mascaras-desinformacao/,10h00,16.jun.2020,57,
"Circula pelas redes sociais um vídeo em que aparece uma multidão em ato em Buenos Aires, na Argentina. Segundo a legenda, seria uma “mega manifestação contra a política comunista do presidente Alberto Fernández”. De acordo com o texto, o protesto seria contrário à estatização de uma empresa do Grupo Vicentin, que atua no ramo de exportação de soja. Por meio do ​",Gustavo Queiroz, #Verificamos: Vídeo de manifestação na Argentina é antigo e não tem relação com estatização de empresa do Grupo Vicentin,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/12/verificamos-manifestacao-argentina-estatizacao/,15h43,12.jun.2020,58,
"Circula nas redes sociais imagens de um homem tentando reanimar uma idosa, dentro de um carro, usando técnicas de respiração boca a boca. A legenda da imagem diz que a senhora, que estava com sintomas de Covid-19, morreu por causa da demora no atendimento em uma unidade hospitalar de Minas Gerais, nesta quinta-feira (11). Por meio do ​",Ítalo Rômany, #Verificamos: Imagem de homem tentando reanimar a avó que faleceu por Covid-19 não foi registrada no Brasil,FALSO,https://piaui.folha.uol.com.br/lupa/2020/06/12/verificamos-rapaz-reanimar-covid/,14h25,12.jun.2020,59,
